OfferDetails,FaceValue,Product
"Save $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"(2.00, Downy Liquid Fabric, 72, Downy Odor Protect, 48, Downy Wrinkle Guard 40, Downy Nature Blends, 67, Bounce/Downy Wrinkle Guard 80, Downy Unstopables, Fresh Protect, Odor Protect, Downy Libre, Gain Fireworks)"
"Save $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"(2.00, Tide Power PODS, Tide Liquid/Powder Laundry Detergent, Tide Simply PODS, Tide, 9)"
"Save $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"(2.00, Tide Purclean Laundry Detergent, Tide, Tide, Tide, 10)"
SAVE $1.00 ON TWO when you buy TWO BOXES (8.9 - 15.2 OZ. EXCLUDES LARGE SIZE) any flavor/variety General Mills cereal listed: *,$1.00,"(1.00, TWO, TWO, 8.9 - 15.2, General Mills)"
"$3.00 OFF when you purchase any THREE (3) Pepperidge Farm® Farmhouse buns, bread, or cookies",$3.00,"(3.00, THREE, 3, Pepperidge Farm, Farmhouse)"
"SAVE $1.11 when you buy any ONE (1) Familly Size OREO, CHIPS AHOY! or NUTTER BUTTER Cookies (12.1 - 20 oz.)",$1.11,"(1.11, 1, NUTTER, 12.1 - 20)"
"SAVE $1.00 ON TWO when you buy TWO PACKAGES any flavor 5 COUNT OR LARGER Nature Valley™ Granola Bars, Biscuits, *",$1.00,"(1.00, TWO, TWO, 5)"
Save $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,"(1.00, TWO, 2, Sargento)"
$0.65 OFF On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),$0.65,"(0.65, 1)"
"$2.00 OFF ONE (1) SMALL bag of Eight O'Clock® Coffee, Any variety 10 oz. - 12 oz. (excluding Barista Blends)",$2.00,"(2.00, 1, Eight, O'Clock, 10, 12, Barista Blends)"
"Save $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"(0.50, 34, 31, Tide, Downy Liquid Fabric Conditioner, 40, 60, 4.3, 50, Downy Unstopables, Odor Protect, Downy Libre, Gain Fireworks)"
"SAVE $1.00 ON TWO when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, *",$1.00,"(1.00, TWO, TWO, Betty Crocker, Fruit Shapes, Fruit, Foot)"
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,"(0.50, ONE, 1, Cheese Heads, 8ct, Snack Cheese)"
Save $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"(0.50, ONE, 1, Pace, Picante Sauce)"
$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,"(1.00, THREE, 3, noosa)"
Save $1.00 on any ONE (1) Gardein™ Frozen Item,$1.00,"(1.00, ONE, 1, Frozen Item)"
